"article_id","title","slug","status","editorial_world","secondary_world","content_format","audience","primary_keyword","search_intent","social_hook","article_promise","unique_angle","original_artifact","source_count","primary_source_count","aplz_mentioned","aplz_primary_topic","aplz_cta","internal_links","word_count","quality_score","freshness","publication_priority"
"A001","日常の小さな不便は、誰のために続いているのか","日常の小さな不便は-誰のために続いているのか-a001","published","P01","効率化は常に正しいのか","F01 検索回答記事","中学生・高校生・高専生","日常の小さな不便 なぜ","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","true","false","true","related hub; related article","900","86","2026-06","P1"
"A002","なぜ日常の小さな不便は、少しだけ面倒なまま残るのか","なぜ日常の小さな不便は-少しだけ面倒なまま残るのか-a002","published","P01","不便には価値があるのか","F02 手順・ハウツー","大学生","日常の小さな不便 方法","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A003","日常の小さな不便を一人で抱えないための小さな表","日常の小さな不便を一人で抱えないための小さな表-a003","published","P01","誰にも評価されない仕事とは何か","F03 解説・仕組み","教員・学校職員","日常の小さな不便 チェックリスト","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A004","日常の小さな不便で最初に迷う場所を見取り図にする","日常の小さな不便で最初に迷う場所を見取り図にする-a004","published","P01","道具が人の行動をどう変えるか","F04 比較・選択・判断","保護者・PTA","日常の小さな不便 仕組み","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A005","日常の小さな不便の失敗例を先に並べてみる","日常の小さな不便の失敗例を先に並べてみる-a005","published","P01","人はなぜ古い方法を使い続けるのか","F05 チェックリスト・テンプレート","町内会・自治会関係者","日常の小さな不便 失敗","日常の小さな不便について、自分の生活や仕事に引き寄せて理解したい","「日常の小さな不便って、そういう見方があったのか」と人に送りたくなる","日常の小さな不便を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A006","家・家族・共同生活は、誰のために続いているのか","家-家族-共同生活は-誰のために続いているのか-a006","published","P02","小さいことへ時間を使う意味","F06 無料ツール・計算機","地域イベント運営者","家・家族・共同生活 なぜ","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A007","なぜ家・家族・共同生活は、少しだけ面倒なまま残るのか","なぜ家-家族-共同生活は-少しだけ面倒なまま残るのか-a007","published","P02","地域とテクノロジーの距離","F07 図鑑・データベース","個人事業主","家・家族・共同生活 方法","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A008","家・家族・共同生活を一人で抱えないための小さな表","家-家族-共同生活を一人で抱えないための小さな表-a008","published","P02","人に頼ることと仕組みに頼ること","F09 密着・一日・現場ルポ","副業を始めたい人","家・家族・共同生活 チェックリスト","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A009","家・家族・共同生活で最初に迷う場所を見取り図にする","家-家族-共同生活で最初に迷う場所を見取り図にする-a009","published","P02","記録することと忘れること","F10 制作ドキュメンタリー","小規模店舗の店主","家・家族・共同生活 仕組み","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A010","家・家族・共同生活の失敗例を先に並べてみる","家-家族-共同生活の失敗例を先に並べてみる-a010","published","P02","便利さとプライバシー","F11 エッセー・論考・問題提起","飲食店・キッチンカー運営者","家・家族・共同生活 失敗","家・家族・共同生活について、自分の生活や仕事に引き寄せて理解したい","「家・家族・共同生活って、そういう見方があったのか」と人に送りたくなる","家・家族・共同生活を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A011","片付け・整理・所有は、誰のために続いているのか","片付け-整理-所有は-誰のために続いているのか-a011","published","P03","子どもと大人で見える仕組みの違い","F12 データ記事・白書","サロン・教室運営者","片付け・整理・所有 なぜ","片付け・整理・所有について、自分の生活や仕事に引き寄せて理解したい","「片付け・整理・所有って、そういう見方があったのか」と人に送りたくなる","片付け・整理・所有を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A012","なぜ片付け・整理・所有は、少しだけ面倒なまま残るのか","なぜ片付け-整理-所有は-少しだけ面倒なまま残るのか-a012","published","P03","一人の問題は社会の問題になり得るか","F13 実験・検証・対決","民泊・観光関係者","片付け・整理・所有 方法","片付け・整理・所有について、自分の生活や仕事に引き寄せて理解したい","「片付け・整理・所有って、そういう見方があったのか」と人に送りたくなる","片付け・整理・所有を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","true","false","false","related hub; related article","900","86","2026-06","P1"
"A013","片付け・整理・所有を一人で抱えないための小さな表","片付け-整理-所有を一人で抱えないための小さな表-a013","published","P03","成功より失敗から何を学べるか","F14 ビジュアル解説","フリーランス・クリエイター","片付け・整理・所有 チェックリスト","片付け・整理・所有について、自分の生活や仕事に引き寄せて理解したい","「片付け・整理・所有って、そういう見方があったのか」と人に送りたくなる","片付け・整理・所有を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A014","片付け・整理・所有で最初に迷う場所を見取り図にする","片付け-整理-所有で最初に迷う場所を見取り図にする-a014","published","P03","無料で提供する範囲はどこまでか","F15 診断・クイズ","エンジニア・開発者","片付け・整理・所有 仕組み","片付け・整理・所有について、自分の生活や仕事に引き寄せて理解したい","「片付け・整理・所有って、そういう見方があったのか」と人に送りたくなる","片付け・整理・所有を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A015","片付け・整理・所有の失敗例を先に並べてみる","片付け-整理-所有の失敗例を先に並べてみる-a015","published","P03","仕事と生活を分けることは可能か","F16 投稿・Q&A・相談","技術に詳しくない事務担当者","片付け・整理・所有 失敗","片付け・整理・所有について、自分の生活や仕事に引き寄せて理解したい","「片付け・整理・所有って、そういう見方があったのか」と人に送りたくなる","片付け・整理・所有を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A016","時間・習慣・注意力は、誰のために続いているのか","時間-習慣-注意力は-誰のために続いているのか-a016","published","P04","効率化は常に正しいのか","F17 歴史・文化・由来","チームやプロジェクトの責任者","時間・習慣・注意力 なぜ","時間・習慣・注意力について、自分の生活や仕事に引き寄せて理解したい","「時間・習慣・注意力って、そういう見方があったのか」と人に送りたくなる","時間・習慣・注意力を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A017","なぜ時間・習慣・注意力は、少しだけ面倒なまま残るのか","なぜ時間-習慣-注意力は-少しだけ面倒なまま残るのか-a017","published","P04","不便には価値があるのか","F18 ニュース・トレンド分析","NPO・ボランティア関係者","時間・習慣・注意力 方法","時間・習慣・注意力について、自分の生活や仕事に引き寄せて理解したい","「時間・習慣・注意力って、そういう見方があったのか」と人に送りたくなる","時間・習慣・注意力を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A018","時間・習慣・注意力を一人で抱えないための小さな表","時間-習慣-注意力を一人で抱えないための小さな表-a018","published","P04","誰にも評価されない仕事とは何か","F03 解説・仕組み","地方・田舎で暮らす人","時間・習慣・注意力 チェックリスト","時間・習慣・注意力について、自分の生活や仕事に引き寄せて理解したい","「時間・習慣・注意力って、そういう見方があったのか」と人に送りたくなる","時間・習慣・注意力を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","true","related hub; related article","900","86","2026-06","P1"
"A019","時間・習慣・注意力で最初に迷う場所を見取り図にする","時間-習慣-注意力で最初に迷う場所を見取り図にする-a019","published","P04","道具が人の行動をどう変えるか","F01 検索回答記事","家族や共同生活を運営する人","時間・習慣・注意力 仕組み","時間・習慣・注意力について、自分の生活や仕事に引き寄せて理解したい","「時間・習慣・注意力って、そういう見方があったのか」と人に送りたくなる","時間・習慣・注意力を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A020","時間・習慣・注意力の失敗例を先に並べてみる","時間-習慣-注意力の失敗例を先に並べてみる-a020","published","P04","人はなぜ古い方法を使い続けるのか","F02 手順・ハウツー","特定の目的なく面白い記事を読みたい一般読者","時間・習慣・注意力 失敗","時間・習慣・注意力について、自分の生活や仕事に引き寄せて理解したい","「時間・習慣・注意力って、そういう見方があったのか」と人に送りたくなる","時間・習慣・注意力を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A021","連絡・会話・人間関係は、誰のために続いているのか","連絡-会話-人間関係は-誰のために続いているのか-a021","published","P05","小さいことへ時間を使う意味","F03 解説・仕組み","中学生・高校生・高専生","連絡・会話・人間関係 なぜ","連絡・会話・人間関係について、自分の生活や仕事に引き寄せて理解したい","「連絡・会話・人間関係って、そういう見方があったのか」と人に送りたくなる","連絡・会話・人間関係を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A022","なぜ連絡・会話・人間関係は、少しだけ面倒なまま残るのか","なぜ連絡-会話-人間関係は-少しだけ面倒なまま残るのか-a022","published","P05","地域とテクノロジーの距離","F04 比較・選択・判断","大学生","連絡・会話・人間関係 方法","連絡・会話・人間関係について、自分の生活や仕事に引き寄せて理解したい","「連絡・会話・人間関係って、そういう見方があったのか」と人に送りたくなる","連絡・会話・人間関係を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A023","連絡・会話・人間関係を一人で抱えないための小さな表","連絡-会話-人間関係を一人で抱えないための小さな表-a023","published","P05","人に頼ることと仕組みに頼ること","F05 チェックリスト・テンプレート","教員・学校職員","連絡・会話・人間関係 チェックリスト","連絡・会話・人間関係について、自分の生活や仕事に引き寄せて理解したい","「連絡・会話・人間関係って、そういう見方があったのか」と人に送りたくなる","連絡・会話・人間関係を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","true","false","false","related hub; related article","900","86","2026-06","P1"
"A024","連絡・会話・人間関係で最初に迷う場所を見取り図にする","連絡-会話-人間関係で最初に迷う場所を見取り図にする-a024","published","P05","記録することと忘れること","F06 無料ツール・計算機","保護者・PTA","連絡・会話・人間関係 仕組み","連絡・会話・人間関係について、自分の生活や仕事に引き寄せて理解したい","「連絡・会話・人間関係って、そういう見方があったのか」と人に送りたくなる","連絡・会話・人間関係を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A025","連絡・会話・人間関係の失敗例を先に並べてみる","連絡-会話-人間関係の失敗例を先に並べてみる-a025","published","P05","便利さとプライバシー","F07 図鑑・データベース","町内会・自治会関係者","連絡・会話・人間関係 失敗","連絡・会話・人間関係について、自分の生活や仕事に引き寄せて理解したい","「連絡・会話・人間関係って、そういう見方があったのか」と人に送りたくなる","連絡・会話・人間関係を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A026","食事・料理・小さな食文化は、誰のために続いているのか","食事-料理-小さな食文化は-誰のために続いているのか-a026","published","P06","子どもと大人で見える仕組みの違い","F09 密着・一日・現場ルポ","地域イベント運営者","食事・料理・小さな食文化 なぜ","食事・料理・小さな食文化について、自分の生活や仕事に引き寄せて理解したい","「食事・料理・小さな食文化って、そういう見方があったのか」と人に送りたくなる","食事・料理・小さな食文化を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A027","なぜ食事・料理・小さな食文化は、少しだけ面倒なまま残るのか","なぜ食事-料理-小さな食文化は-少しだけ面倒なまま残るのか-a027","published","P06","一人の問題は社会の問題になり得るか","F10 制作ドキュメンタリー","個人事業主","食事・料理・小さな食文化 方法","食事・料理・小さな食文化について、自分の生活や仕事に引き寄せて理解したい","「食事・料理・小さな食文化って、そういう見方があったのか」と人に送りたくなる","食事・料理・小さな食文化を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A028","食事・料理・小さな食文化を一人で抱えないための小さな表","食事-料理-小さな食文化を一人で抱えないための小さな表-a028","published","P06","成功より失敗から何を学べるか","F11 エッセー・論考・問題提起","副業を始めたい人","食事・料理・小さな食文化 チェックリスト","食事・料理・小さな食文化について、自分の生活や仕事に引き寄せて理解したい","「食事・料理・小さな食文化って、そういう見方があったのか」と人に送りたくなる","食事・料理・小さな食文化を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A029","食事・料理・小さな食文化で最初に迷う場所を見取り図にする","食事-料理-小さな食文化で最初に迷う場所を見取り図にする-a029","published","P06","無料で提供する範囲はどこまでか","F12 データ記事・白書","小規模店舗の店主","食事・料理・小さな食文化 仕組み","食事・料理・小さな食文化について、自分の生活や仕事に引き寄せて理解したい","「食事・料理・小さな食文化って、そういう見方があったのか」と人に送りたくなる","食事・料理・小さな食文化を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A030","食事・料理・小さな食文化の失敗例を先に並べてみる","食事-料理-小さな食文化の失敗例を先に並べてみる-a030","published","P06","仕事と生活を分けることは可能か","F13 実験・検証・対決","飲食店・キッチンカー運営者","食事・料理・小さな食文化 失敗","食事・料理・小さな食文化について、自分の生活や仕事に引き寄せて理解したい","「食事・料理・小さな食文化って、そういう見方があったのか」と人に送りたくなる","食事・料理・小さな食文化を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P1"
"A031","買い物・消費・選択は、誰のために続いているのか","買い物-消費-選択は-誰のために続いているのか-a031","published","P07","効率化は常に正しいのか","F14 ビジュアル解説","サロン・教室運営者","買い物・消費・選択 なぜ","買い物・消費・選択について、自分の生活や仕事に引き寄せて理解したい","「買い物・消費・選択って、そういう見方があったのか」と人に送りたくなる","買い物・消費・選択を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
"A032","なぜ買い物・消費・選択は、少しだけ面倒なまま残るのか","なぜ買い物-消費-選択は-少しだけ面倒なまま残るのか-a032","published","P07","不便には価値があるのか","F15 診断・クイズ","民泊・観光関係者","買い物・消費・選択 方法","買い物・消費・選択について、自分の生活や仕事に引き寄せて理解したい","「買い物・消費・選択って、そういう見方があったのか」と人に送りたくなる","買い物・消費・選択を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
"A033","買い物・消費・選択を一人で抱えないための小さな表","買い物-消費-選択を一人で抱えないための小さな表-a033","published","P07","誰にも評価されない仕事とは何か","F16 投稿・Q&A・相談","フリーランス・クリエイター","買い物・消費・選択 チェックリスト","買い物・消費・選択について、自分の生活や仕事に引き寄せて理解したい","「買い物・消費・選択って、そういう見方があったのか」と人に送りたくなる","買い物・消費・選択を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
"A034","買い物・消費・選択で最初に迷う場所を見取り図にする","買い物-消費-選択で最初に迷う場所を見取り図にする-a034","published","P07","道具が人の行動をどう変えるか","F17 歴史・文化・由来","エンジニア・開発者","買い物・消費・選択 仕組み","買い物・消費・選択について、自分の生活や仕事に引き寄せて理解したい","「買い物・消費・選択って、そういう見方があったのか」と人に送りたくなる","買い物・消費・選択を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","true","false","false","related hub; related article","900","86","2026-06","P2"
"A035","買い物・消費・選択の失敗例を先に並べてみる","買い物-消費-選択の失敗例を先に並べてみる-a035","published","P07","人はなぜ古い方法を使い続けるのか","F18 ニュース・トレンド分析","技術に詳しくない事務担当者","買い物・消費・選択 失敗","買い物・消費・選択について、自分の生活や仕事に引き寄せて理解したい","「買い物・消費・選択って、そういう見方があったのか」と人に送りたくなる","買い物・消費・選択を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","true","related hub; related article","900","86","2026-06","P2"
"A036","移動・交通・待ち時間は、誰のために続いているのか","移動-交通-待ち時間は-誰のために続いているのか-a036","published","P08","小さいことへ時間を使う意味","F03 解説・仕組み","チームやプロジェクトの責任者","移動・交通・待ち時間 なぜ","移動・交通・待ち時間について、自分の生活や仕事に引き寄せて理解したい","「移動・交通・待ち時間って、そういう見方があったのか」と人に送りたくなる","移動・交通・待ち時間を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","会話台本","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
"A037","なぜ移動・交通・待ち時間は、少しだけ面倒なまま残るのか","なぜ移動-交通-待ち時間は-少しだけ面倒なまま残るのか-a037","published","P08","地域とテクノロジーの距離","F01 検索回答記事","NPO・ボランティア関係者","移動・交通・待ち時間 方法","移動・交通・待ち時間について、自分の生活や仕事に引き寄せて理解したい","「移動・交通・待ち時間って、そういう見方があったのか」と人に送りたくなる","移動・交通・待ち時間を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","観察メモ","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
"A038","移動・交通・待ち時間を一人で抱えないための小さな表","移動-交通-待ち時間を一人で抱えないための小さな表-a038","published","P08","人に頼ることと仕組みに頼ること","F02 手順・ハウツー","地方・田舎で暮らす人","移動・交通・待ち時間 チェックリスト","移動・交通・待ち時間について、自分の生活や仕事に引き寄せて理解したい","「移動・交通・待ち時間って、そういう見方があったのか」と人に送りたくなる","移動・交通・待ち時間を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","判断チャート","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
"A039","移動・交通・待ち時間で最初に迷う場所を見取り図にする","移動-交通-待ち時間で最初に迷う場所を見取り図にする-a039","published","P08","記録することと忘れること","F03 解説・仕組み","家族や共同生活を運営する人","移動・交通・待ち時間 仕組み","移動・交通・待ち時間について、自分の生活や仕事に引き寄せて理解したい","「移動・交通・待ち時間って、そういう見方があったのか」と人に送りたくなる","移動・交通・待ち時間を、今日見直せる具体物に変える","道具ではなく、人の迷いと例外から見る","チェックリスト","4","1","false","false","false","related hub; related article","900","86","2026-06","P2"
